"Time","Self side","Rank1","Rank2","Opponent","Rank1","Rank2","Type","Size","Handicap","Result1","Result2","Result3"
2014/8/31 3:9,W,10k,-9,jomiba,11k,-10,Ranked,19,0,W,1,Res.
2014/8/31 3:53,W,10k,-9,Marathon,14k,-13,Free,19,4,W,1,20.5
2014/8/31 4:55,B,10k,-9,siori,7k,-6,Ranked,19,3,W,0,17.5
2014/8/31 16:18,W,10k,-9,daigaku,15k,-14,Ranked,19,5,B,0,Res.
2014/8/31 16:25,W,10k,-9,Kevxander,10k,-9,Ranked,19,0,B,0,8.5
2014/8/31 16:49,B,10k,-9,Feather,8k,-7,Ranked,19,2,W,0,20.5
2014/8/31 20:31,W,10k,-9,mariotti,11k,-10,Ranked,19,0,W,1,Res.
2014/8/31 20:48,W,10k,-9,WndngNmbr,10k,-9,Ranked,19,0,W,1,Res.
2014/8/31 23:19,W,10k,-9,Aloring,10k,-9,Free,19,0,W,1,Res.
2014/9/1 0:25,W,10k,-9,hailstone,11k,-10,Ranked,19,0,B,0,14.5
2014/9/1 3:29,B,10k,-9,stuie,7k,-6,Ranked,19,3,W,0,Res.
2014/9/1 3:40,B,10k,-9,stuie,7k,-6,Ranked,19,3,B,1,2.5
2014/9/1 17:4,W,10k,-9,rahane,12k,-11,Ranked,19,2,W,1,32.5
2014/9/1 18:50,B,10k,-9,propo,9k?,-8,Ranked,19,0,W,0,12.5
2014/9/1 19:18,W,10k,-9,nld002,14k,-13,Ranked,19,4,W,1,Res.
2014/9/1 20:42,W,10k,-9,RKMM,13k,-12,Ranked,19,3,W,1,Forf.
2014/9/1 21:7,B,10k,-9,shind0,9k,-8,Ranked,19,0,W,0,4.5
2014/9/2 3:17,B,10k,-9,WndngNmbr,10k,-9,Ranked,19,0,B,1,Res.
2014/9/2 4:5,B,10k,-9,alango,9k,-8,Ranked,19,0,B,1,19.5
2014/9/2 4:33,B,10k,-9,haklee,10k,-9,Ranked,19,0,B,1,Forf.
2014/9/2 5:35,W,10k,-9,Sarangi,14k?,-13,Ranked,19,4,W,1,43.5
2014/9/2 20:18,W,10k,-9,diepeter,11k,-10,Ranked,19,0,B,0,10.5
2014/9/2 21:24,W,10k,-9,Holic,10k,-9,Ranked,19,0,B,0,Res.
2014/9/3 1:16,B,10k,-9,masonc,8k,-7,Ranked,19,2,B,1,Res.
2014/9/3 19:54,B,10k,-9,sylvester,6k,-5,Ranked,19,4,B,1,Res.
2014/9/4 0:48,B,10k,-9,ssyng,8k,-7,Ranked,19,2,B,1,Res.
2014/9/4 2:3,W,10k,-9,AxlAndAdv9,13k,-12,Free,19,0,B,0,Res.
2014/9/4 2:46,B,10k,-9,urode5,4k,-3,Ranked,19,6,W,0,8.5
2014/9/5 1:37,B,10k,-9,alango,9k,-8,Ranked,19,0,W,0,4.5
2014/9/5 1:55,B,10k,-9,momose955,9k,-8,Ranked,19,0,W,0,Res.
2014/9/6 3:10,B,10k,-9,jimmylin,9k,-8,Ranked,19,0,W,0,Res.
2014/9/6 3:32,B,10k,-9,noreh,6k,-5,Ranked,19,4,B,1,6.5
2014/9/6 5:27,W,10k,-9,Azok,11k,-10,Ranked,19,0,W,1,Res.
2014/9/6 6:14,B,10k,-9,pgrass,5k,-4,Ranked,19,5,W,0,Res.
2014/9/6 22:43,B,10k,-9,blan,6k,-5,Ranked,19,4,B,1,Res.
2014/9/6 22:52,W,10k,-9,ucabista18,10k,-9,Ranked,19,0,W,1,Res.
2014/9/6 23:13,W,10k,-9,markd,13k,-12,Ranked,19,3,W,1,20.5
2014/9/6 23:31,W,10k,-9,wowbobwow,11k,-10,Ranked,19,0,B,0,11.5
2014/9/6 23:55,W,10k,-9,kitsune01,10k,-9,Free,19,0,W,1,29.5
2014/9/7 0:12,B,10k,-9,AndreiM,8k,-7,Ranked,19,2,W,0,Res.
2014/9/7 0:23,W,10k,-9,mfgo09kyu1,-,-99,Free,19,0,B,0,Res.
2014/9/7 3:51,B,10k,-9,nexus0727,10k,-9,Ranked,19,0,B,1,Res.
2014/9/7 4:7,B,10k,-9,keiraan,8k,-7,Ranked,19,2,W,0,6.5
2014/9/7 4:29,B,10k,-9,gomission,7k,-6,Ranked,19,3,W,0,Res.
2014/9/7 4:44,B,10k,-9,gomission,7k,-6,Ranked,19,3,W,0,Res.
2014/9/7 18:34,W,10k,-9,Gobelin,10k,-9,Ranked,19,0,W,1,Res.
2014/9/7 18:53,B,10k,-9,Mendieta,8k,-7,Ranked,19,2,B,1,13.5
2014/9/7 20:11,B,10k,-9,Filen,8k?,-7,Ranked,19,2,W,0,Res.
2014/9/7 21:38,B,10k,-9,Trurl,7k,-6,Ranked,19,3,B,1,Forf.
